theme,expression
antécédents cardiovasculaires,antécédents cardiaques
antécédents cardiovasculaires,problèmes de cœur
antécédents cardiovasculaires,infarctus
antécédents cardiovasculaires,angine de poitrine
antécédents cardiovasculaires,AVC
antécédents cardiovasculaires,maladies cardiovasculaires
antécédents cardiovasculaires,opération du cœur
antécédents cardiovasculaires,stent
antécédents cardiovasculaires,chirurgie cardiaque

douleur thoracique,douleur dans la poitrine
douleur thoracique,mal au thorax
douleur thoracique,oppression thoracique
douleur thoracique,point dans la poitrine
douleur thoracique,gêne thoracique
douleur thoracique,douleur thoracique
douleur thoracique,tension dans la poitrine
douleur thoracique,douleur au sternum

irradiation,douleur dans le bras
irradiation,douleur dans la mâchoire
irradiation,la douleur se propage
irradiation,douleur ailleurs
irradiation,douleur irradie
irradiation,douleur dans le dos
irradiation,douleur au cou
irradiation,douleur dans l'épaule

facteurs déclenchants,effort physique
facteurs déclenchants,activité physique
facteurs déclenchants,marcher
facteurs déclenchants,monter les escaliers
facteurs déclenchants,stress
facteurs déclenchants,froid
facteurs déclenchants,émotion forte
facteurs déclenchants,après le repas
facteurs déclenchants,ce qui provoque
facteurs déclenchants,ce qui déclenche

facteurs calmants,repos
facteurs calmants,position allongée
facteurs calmants,médicaments
facteurs calmants,traitement
facteurs calmants,ce qui calme
facteurs calmants,ce qui soulage
facteurs calmants,ce qui atténue
facteurs calmants,ce qui fait disparaître

durée,durée des symptômes
durée,depuis combien de temps
durée,depuis quand
durée,combien de temps cela dure
durée,temps écoulé
durée,temps des symptômes
durée,depuis ce matin
durée,ça fait combien de temps

résultats d'examen,électrocardiogramme
résultats d'examen,ECG
résultats d'examen,IRM
résultats d'examen,scanner
résultats d'examen,échographie
résultats d'examen,bilan sanguin
résultats d'examen,examens médicaux
résultats d'examen,résultats d’examen
résultats d'examen,analyse

traitements en cours,traitement actuel
traitements en cours,médicaments
traitements en cours,ordonnance
traitements en cours,traitement en cours
traitements en cours,ce que vous prenez
traitements en cours,prise de médicament
traitements en cours,traitement quotidien
traitements en cours,traitement médical régulier
